employee_id,employee_super_region,year_nbr,month_nbr,active_days,interactions_count,pitches_count,wins_count,,,,
630,LATAM,2020,7,1,1,1,0,,,,
3451,APAC,2020,6,1,1,1,0,,,,
3451,APAC,2020,7,1,1,2,0,,,,
3451,APAC,2020,8,1,1,2,2,,,,
4016,LATAM,2020,6,15,64,73,14,,,,
4016,LATAM,2020,7,15,113,168,32,,,,
4016,LATAM,2020,8,16,113,151,29,,,,
4016,LATAM,2020,9,16,148,185,17,,,,
4016,LATAM,2020,10,14,114,158,28,,,,
4016,LATAM,2020,11,8,62,112,19,,,,
4016,LATAM,2020,12,10,105,263,39,,,,
4016,LATAM,2021,1,1,1,1,0,,,,
6291,LATAM,2020,5,2,5,\N,\N,,,,
6291,LATAM,2020,6,16,211,313,65,,,,
6291,LATAM,2020,7,15,99,164,54,,,,
6291,LATAM,2020,8,17,154,257,69,,,,
6291,LATAM,2020,9,21,199,424,64,,,,
6291,LATAM,2020,10,18,124,277,43,,,,
6291,LATAM,2020,11,14,87,212,43,,,,
6291,LATAM,2020,12,9,46,132,15,,,,
7554,LATAM,2020,8,1,8,1,0,,,,
7754,APAC,2020,5,7,14,1,1,,,,
7754,APAC,2020,6,15,206,301,89,,,,
7754,APAC,2020,8,7,73,163,25,,,,
7754,APAC,2020,9,16,145,527,101,,,,
7754,APAC,2020,10,20,180,456,105,,,,
7754,APAC,2020,11,14,115,276,75,,,,
7754,APAC,2020,12,12,135,406,56,,,,
7771,APAC,2020,5,3,3,\N,\N,,,,
7771,APAC,2020,6,16,174,225,42,,,,
7771,APAC,2020,7,8,82,144,42,,,,
7771,APAC,2020,8,11,127,282,99,,,,
7771,APAC,2020,9,18,187,448,86,,,,
7771,APAC,2020,10,14,150,340,63,,,,
7771,APAC,2020,11,13,140,257,51,,,,
7771,APAC,2020,12,14,149,355,66,,,,
8525,APAC,2020,5,3,6,\N,\N,,,,
8525,APAC,2020,6,13,152,213,54,,,,
8525,APAC,2020,7,14,151,247,41,,,,
8525,APAC,2020,8,12,115,269,72,,,,
8525,APAC,2020,9,17,150,402,80,,,,
8525,APAC,2020,10,15,99,298,87,,,,
8525,APAC,2020,11,11,65,203,38,,,,
8525,APAC,2020,12,12,77,212,39,,,,
8526,APAC,2020,5,4,5,\N,\N,,,,
8526,APAC,2020,6,11,167,413,52,,,,
8526,APAC,2020,7,12,113,304,66,,,,
8526,APAC,2020,8,14,109,388,69,,,,
8526,APAC,2020,9,14,108,428,96,,,,
8526,APAC,2020,10,17,129,636,114,,,,
8526,APAC,2020,11,17,124,574,76,,,,
8526,APAC,2020,12,11,98,430,66,,,,
9606,AMER,2020,5,9,27,\N,\N,,,,
9606,AMER,2020,6,18,173,545,105,,,,
9606,AMER,2020,7,17,176,619,118,,,,
9606,AMER,2020,8,13,139,539,98,,,,
9606,AMER,2020,9,19,205,565,128,,,,
9606,AMER,2020,10,11,110,354,68,,,,
9606,AMER,2020,11,19,196,631,179,,,,
9606,AMER,2020,12,7,66,193,40,,,,
15243,\N,2020,9,1,1,2,0,,,,
16188,APAC,2020,5,1,1,\N,\N,,,,
16188,APAC,2020,6,14,80,97,34,,,,
16188,APAC,2020,7,14,94,168,45,,,,
16188,APAC,2020,8,6,30,77,25,,,,
16188,APAC,2020,9,11,62,133,38,,,,
16188,APAC,2020,10,12,66,178,53,,,,
16188,APAC,2020,11,9,47,152,37,,,,
16188,APAC,2020,12,9,59,173,38,,,,
16374,APAC,2020,5,4,6,\N,\N,,,,
16374,APAC,2020,6,20,138,190,68,,,,
16374,APAC,2020,7,23,136,425,70,,,,
16374,APAC,2020,8,1,4,7,1,,,,
16374,APAC,2020,9,18,152,384,62,,,,
16374,APAC,2020,10,20,138,300,36,,,,
16374,APAC,2020,11,18,102,317,78,,,,
16374,APAC,2020,12,12,137,245,44,,,,
16375,LATAM,2020,5,1,1,\N,\N,,,,
16375,LATAM,2020,6,12,125,267,100,,,,
16375,LATAM,2020,7,11,90,265,111,,,,
16375,LATAM,2020,8,17,146,425,121,,,,
16375,LATAM,2020,9,17,139,374,87,,,,
16375,LATAM,2020,10,17,135,432,122,,,,
16375,LATAM,2020,11,15,130,379,105,,,,
16375,LATAM,2020,12,12,88,248,51,,,,
17069,LATAM,2020,6,16,96,150,28,,,,
17069,LATAM,2020,7,17,106,155,29,,,,
17069,LATAM,2020,8,5,21,43,4,,,,
17069,LATAM,2020,10,14,62,82,22,,,,
17069,LATAM,2020,11,11,63,122,22,,,,
17069,LATAM,2020,12,10,38,81,16,,,,
18158,APAC,2020,5,3,3,\N,\N,,,,
18158,APAC,2020,6,13,76,188,65,,,,
18158,APAC,2020,7,12,65,221,55,,,,
18158,APAC,2020,8,4,36,132,45,,,,
18158,APAC,2020,9,13,78,232,38,,,,
18158,APAC,2020,10,16,113,346,64,,,,
18158,APAC,2020,11,14,96,267,73,,,,
18158,APAC,2020,12,8,51,123,32,,,,
18172,AMER,2020,8,1,2,5,0,,,,
18172,AMER,2020,11,1,1,2,0,,,,
18401,APAC,2020,11,1,1,5,0,,,,
18652,APAC,2020,7,1,1,2,0,,,,
18728,APAC,2020,8,1,1,3,0,,,,
18802,EMEA,2020,4,1,1,\N,\N,,,,
18802,EMEA,2020,5,1,1,\N,\N,,,,
18802,EMEA,2020,6,14,140,226,112,,,,
18802,EMEA,2020,7,16,123,222,117,,,,
18802,EMEA,2020,8,12,113,244,164,,,,
18802,EMEA,2020,9,16,151,216,99,,,,
18802,EMEA,2020,10,13,93,149,57,,,,
18802,EMEA,2020,11,15,108,151,80,,,,
18802,EMEA,2020,12,9,93,165,69,,,,
18814,EMEA,2020,6,7,12,12,1,,,,
18814,EMEA,2020,7,10,15,15,2,,,,
18814,EMEA,2020,8,5,6,6,0,,,,
18814,EMEA,2020,10,2,2,2,1,,,,
19032,APAC,2020,5,4,5,\N,\N,,,,
19032,APAC,2020,6,19,212,588,107,,,,
19032,APAC,2020,9,21,136,426,100,,,,
19032,APAC,2020,10,22,127,420,66,,,,
19032,APAC,2020,11,16,95,197,72,,,,
19032,APAC,2020,12,4,22,59,18,,,,
19185,LATAM,2020,5,2,3,\N,\N,,,,
19185,LATAM,2020,6,16,151,321,98,,,,
19185,LATAM,2020,7,13,99,236,56,,,,
19185,LATAM,2020,8,11,82,190,45,,,,
19185,LATAM,2020,9,14,73,258,62,,,,
19185,LATAM,2020,10,16,92,425,88,,,,
19185,LATAM,2020,11,11,63,231,50,,,,
19185,LATAM,2020,12,7,46,205,54,,,,
19400,\N,2020,5,1,1,\N,\N,,,,
19400,\N,2020,10,1,1,3,0,,,,
19472,\N,2020,6,1,1,4,2,,,,
19472,\N,2020,7,1,1,7,1,,,,
19609,LATAM,2020,6,16,150,302,127,,,,
19609,LATAM,2020,7,17,136,268,79,,,,
19609,LATAM,2020,8,13,121,218,64,,,,
19609,LATAM,2020,9,20,163,365,114,,,,
19609,LATAM,2020,10,17,122,279,75,,,,
19609,LATAM,2020,11,14,126,253,113,,,,
19609,LATAM,2020,12,14,99,220,56,,,,
19874,EMEA,2020,7,1,1,1,0,,,,
19958,APAC,2020,6,2,10,15,2,,,,
19958,APAC,2020,7,3,16,10,1,,,,
19958,APAC,2020,9,1,1,3,1,,,,
19994,APAC,2020,5,3,5,\N,\N,,,,
19994,APAC,2020,6,11,112,165,71,,,,
19994,APAC,2020,7,17,132,213,62,,,,
19994,APAC,2020,8,4,32,57,11,,,,
19994,APAC,2020,9,15,110,236,68,,,,
19994,APAC,2020,10,15,86,192,52,,,,
19994,APAC,2020,11,10,46,129,24,,,,
19994,APAC,2020,12,5,24,52,14,,,,
20121,LATAM,2020,6,1,1,6,1,,,,
20121,LATAM,2020,8,1,1,3,0,,,,
20179,APAC,2020,6,1,1,4,1,,,,
20179,APAC,2020,7,3,3,2,2,,,,
20179,APAC,2020,8,1,3,5,0,,,,
20179,APAC,2020,9,9,36,39,20,,,,
20179,APAC,2020,10,6,12,22,3,,,,
20179,APAC,2020,11,4,9,11,1,,,,
20256,APAC,2020,8,2,2,3,1,,,,
20915,APAC,2020,5,5,10,1,0,,,,
20915,APAC,2020,6,16,187,306,95,,,,
20915,APAC,2020,7,9,140,121,33,,,,
20915,APAC,2020,8,13,183,284,91,,,,
20915,APAC,2020,9,23,310,594,122,,,,
20915,APAC,2020,10,19,322,631,166,,,,
20915,APAC,2020,11,15,289,461,69,,,,
20915,APAC,2020,12,16,234,402,72,,,,
20915,APAC,2021,1,2,3,7,0,,,,
21215,APAC,2020,5,6,13,\N,\N,,,,
21215,APAC,2020,6,17,316,564,109,,,,
21215,APAC,2020,7,15,174,523,91,,,,
21215,APAC,2020,8,9,104,303,93,,,,
21215,APAC,2020,9,21,266,826,156,,,,
21215,APAC,2020,10,17,166,448,78,,,,
21215,APAC,2020,11,15,140,405,65,,,,
21215,APAC,2020,12,15,170,485,90,,,,
21284,APAC,2020,9,3,3,3,2,,,,
21284,APAC,2020,10,1,1,1,0,,,,
21285,APAC,2020,6,12,131,187,69,,,,
21285,APAC,2020,7,19,124,251,42,,,,
21285,APAC,2020,8,8,60,203,40,,,,
21285,APAC,2020,9,18,131,372,78,,,,
21285,APAC,2020,10,15,115,312,80,,,,
21285,APAC,2020,11,16,129,325,67,,,,
21285,APAC,2020,12,13,86,212,46,,,,
21286,APAC,2020,6,14,143,170,38,,,,
21286,APAC,2020,7,4,22,31,9,,,,
21286,APAC,2020,9,4,17,38,8,,,,
21286,APAC,2020,10,14,89,210,56,,,,
21286,APAC,2020,11,13,84,152,29,,,,
21286,APAC,2020,12,7,44,84,12,,,,
21412,APAC,2020,9,1,1,4,1,,,,
21413,\N,2020,8,2,2,0,0,,,,
21413,\N,2020,9,7,45,90,26,,,,
21413,\N,2020,10,4,17,35,14,,,,
21413,\N,2020,11,2,26,27,10,,,,
21413,\N,2020,12,5,9,2,2,,,,
21414,APAC,2020,5,3,7,\N,\N,,,,
21414,APAC,2020,6,15,139,398,93,,,,
21414,APAC,2020,7,13,100,370,57,,,,
21414,APAC,2020,8,7,35,141,61,,,,
21414,APAC,2020,9,21,173,604,140,,,,
21414,APAC,2020,10,15,112,425,98,,,,
21414,APAC,2020,11,14,123,424,115,,,,
21414,APAC,2020,12,8,54,220,42,,,,
22459,APAC,2020,5,4,10,\N,\N,,,,
22459,APAC,2020,6,16,126,178,51,,,,
22459,APAC,2020,7,13,78,228,39,,,,
22459,APAC,2020,8,3,22,76,13,,,,
22459,APAC,2020,9,18,125,346,53,,,,
22459,APAC,2020,10,17,112,196,39,,,,
22459,APAC,2020,11,17,118,215,17,,,,
22459,APAC,2020,12,9,49,86,11,,,,
22574,EMEA,2020,5,8,15,\N,\N,,,,
22574,EMEA,2020,6,15,107,287,82,,,,
22574,EMEA,2020,7,18,134,389,73,,,,
22574,EMEA,2020,8,15,121,340,50,,,,
22574,EMEA,2020,9,19,142,355,61,,,,
22574,EMEA,2020,10,16,103,313,52,,,,
22574,EMEA,2020,11,18,115,347,72,,,,
22574,EMEA,2020,12,11,75,224,42,,,,
22709,APAC,2020,5,3,4,\N,\N,,,,
22709,APAC,2020,6,12,72,205,59,,,,
22709,APAC,2020,7,16,84,251,58,,,,
22709,APAC,2020,8,5,23,69,21,,,,
22709,APAC,2020,9,14,83,241,63,,,,
22709,APAC,2020,10,12,68,208,40,,,,
22709,APAC,2020,11,13,88,258,49,,,,
22709,APAC,2020,12,7,45,144,25,,,,
22712,\N,2020,10,16,69,238,41,,,,
22712,\N,2020,11,3,13,40,4,,,,
22735,\N,2020,7,6,15,40,14,,,,
22735,\N,2020,8,6,18,49,7,,,,
22735,\N,2020,9,4,15,43,9,,,,
22735,\N,2020,10,13,68,170,27,,,,
22735,\N,2020,11,3,17,38,9,,,,
22737,APAC,2020,5,6,9,\N,\N,,,,
22737,APAC,2020,6,13,83,77,17,,,,
22737,APAC,2020,7,11,58,88,18,,,,
22737,APAC,2020,8,12,87,206,49,,,,
22737,APAC,2020,9,13,102,235,44,,,,
22737,APAC,2020,10,16,117,321,65,,,,
22737,APAC,2020,11,16,127,257,64,,,,
22737,APAC,2020,12,7,59,137,20,,,,
22741,APAC,2020,7,1,1,2,2,,,,
22748,APAC,2020,5,5,6,\N,\N,,,,
22748,APAC,2020,6,14,119,233,42,,,,
22748,APAC,2020,7,17,145,314,57,,,,
22748,APAC,2020,8,8,75,97,27,,,,
22748,APAC,2020,9,17,142,262,64,,,,
22748,APAC,2020,10,15,108,228,74,,,,
22748,APAC,2020,11,12,98,133,58,,,,
22748,APAC,2020,12,13,94,142,50,,,,
22763,APAC,2020,5,2,4,\N,\N,,,,
22763,APAC,2020,6,9,50,78,25,,,,
22763,APAC,2020,7,10,52,132,43,,,,
22763,APAC,2020,8,12,94,372,105,,,,
22763,APAC,2020,9,17,130,438,138,,,,
22763,APAC,2020,10,17,129,441,122,,,,
22763,APAC,2020,11,16,123,360,115,,,,
22763,APAC,2020,12,9,61,177,32,,,,
22765,APAC,2020,5,3,5,\N,\N,,,,
22765,APAC,2020,6,12,137,252,62,,,,
22765,APAC,2020,7,18,118,391,70,,,,
22765,APAC,2020,8,3,16,59,13,,,,
22765,APAC,2020,10,10,54,180,52,,,,
22765,APAC,2020,11,15,85,269,61,,,,
22765,APAC,2020,12,8,44,122,19,,,,
22768,APAC,2020,5,1,1,\N,\N,,,,
22768,APAC,2020,6,15,168,277,53,,,,
22768,APAC,2020,7,12,104,227,58,,,,
22768,APAC,2020,8,10,73,167,38,,,,
22768,APAC,2020,9,14,102,216,60,,,,
22768,APAC,2020,10,16,127,276,70,,,,
22768,APAC,2020,11,17,117,225,38,,,,
22768,APAC,2020,12,12,84,202,29,,,,
22770,APAC,2020,9,1,1,3,1,,,,
22770,APAC,2020,11,1,1,2,0,,,,
22770,APAC,2020,12,1,1,0,0,,,,
23089,APAC,2020,6,6,18,18,4,,,,
23089,APAC,2020,7,8,27,51,17,,,,
23089,APAC,2020,8,13,90,217,68,,,,
23089,APAC,2020,9,18,113,305,74,,,,
23089,APAC,2020,10,13,81,259,69,,,,
23089,APAC,2020,11,14,94,229,50,,,,
23089,APAC,2020,12,10,65,164,30,,,,
23199,APAC,2020,8,1,2,0,0,,,,
23199,APAC,2020,11,2,2,3,0,,,,
23405,APAC,2020,6,16,192,192,23,,,,
23405,APAC,2020,7,9,108,108,27,,,,
23405,APAC,2020,8,16,134,134,38,,,,
23405,APAC,2020,10,19,176,176,50,,,,
23565,APAC,2020,5,1,1,\N,\N,,,,
23565,APAC,2020,6,15,109,208,31,,,,
23565,APAC,2020,7,14,99,138,37,,,,
23565,APAC,2020,8,16,120,227,32,,,,
23565,APAC,2020,9,11,70,163,42,,,,
23565,APAC,2020,10,15,82,220,49,,,,
23565,APAC,2020,11,16,89,166,35,,,,
23565,APAC,2020,12,9,38,87,17,,,,
23565,APAC,2021,1,1,1,3,0,,,,
23603,\N,2020,6,14,116,246,53,,,,
23603,\N,2020,7,11,46,129,46,,,,
23603,\N,2020,8,12,86,151,51,,,,
23603,\N,2020,9,14,79,133,30,,,,
